,imdb_id,imdb_n_comment,imdb_score,name,rating_people,score,上映日期,主演,制片国家/地区,又名,导演,片长,类型,编剧,语言,主演人数,r5,r4,r3,r2,r1
958, tt2473764,,,算吧啦，老豆！,792,5.3, 2011-05-12, 廖启智 Kai Chi Liu / 薛凯琪 Fiona Sit / 周柏豪  Pakho Chau / 刘以达 Tats Lau / 单立文 Pal Sinn, 香港, The Way We Were, 刘建平 / 许树宁,, 剧情 / 喜剧 / 爱情, 刘建平, 汉语普通话 / 粤语,5,0.028,0.108,0.458,0.305,0.101
959, tt0082535,69,5.3,滑稽时代,1025,7.5, 1980-12-24, 李海生 / 麦嘉 / 石天 / 黄百鸣 / 黄一飞, 香港 / 台湾, Laughing Times, 吴宇森, 94 分钟(台湾) / 101 分钟(香港), 剧情 / 喜剧 / 动作 / 家庭, 吴宇森, 粤语 / 汉语普通话,5,0.185,0.427,0.337,0.048,0.004
960,,,,再一次心跳,2120,6.4,, 罗志祥 / 杨丞琳, 台湾,, 陈正道, 46分钟, 短片, 任鹏, 汉语普通话,2,0.098,0.225,0.494,0.131,0.052
962, tt0337875,84,6,变脸迷情,1437,5.6, 2002-06-14, 吴彦祖 / 黎姿 / 冯德伦 / 林雪, 香港," Devil Face, Angel Heart", 钟少雄, 87 分钟, 剧情 / 动作 / 惊悚 / 犯罪,, 汉语普通话 / 粤语,4,0.035,0.121,0.524,0.256,0.064
963, tt0095939,67,6.1,求爱敢死队 求愛敢死隊,1128,6.2, 1988-07-13, 张曼玉 / 曾志伟 / 王晶 / 吴君如 / 李美凤, 香港, How to Pick Girls Up!, 王晶,, 喜剧 / 爱情, 王晶, 粤语,5,0.042,0.191,0.618,0.129,0.021
964,,,,爱与狗同行 愛與狗同行,902,8.6, 2008-05-08,, 香港, This Darling Life, 陈安琪,, 纪录片,, 粤语,0,0.483,0.358,0.138,0.019,0.002
965, tt1314659,105,5.4,大喜事 大囍事,1552,6.5, 2009-01-25, 范文芳 / 李铭顺 / 陈建州 / 刘雅丽, 新加坡, The Wedding Game / The Wedding of the Year, 吕翼谋,, 喜剧 / 爱情, 沈谨仁 / 吕翼谋, 马来语 / 英语 / 闽南语 / 汉语普通话,4,0.074,0.271,0.532,0.1,0.023
966, tt3336934,230,7.2,大明劫,37739,7.8, 2013-10-25(中国大陆) / 2013-08-31(蒙特利尔电影节), 冯远征 / 戴立忍 / 冯波 / 杨旸 / 钱学格 / 司源 / 马精武 / 胡晓光 / 余少群, 中国大陆, Fall of Ming, 王竞, 109分钟, 剧情 / 历史 / 古装, 谢晓东 / 周荣扬, 汉语普通话,9,0.215,0.495,0.25,0.032,0.008
967, tt2165735,,,毒战 毒戰,104395,7.2, 2013-04-02(中国大陆) / 2012-11-15(罗马电影节) / 2013-04-18(香港) / 2013-04-26(台湾), 孙红雷 / 古天乐 / 黄奕 / 钟汉良 / 高云翔 / 李光洁 / 叶璇 / 甘婷婷 / 王思雅 / 林雪 / 林家栋 / 肖聪 / 王紫逸 / 成泰燊 / 卢海鹏 / 张兆辉 / 吴廷烨 / 姜皓文 / 李菁 / 郭涛 / 谭凯 / 郝平, 中国大陆 / 香港, 破冰 / Drug War, 杜琪峰, 108分钟, 剧情 / 动作 / 犯罪, 韦家辉 / 游乃海 / 陈伟斌 / 余曦, 汉语普通话 / 粤语,22,0.131,0.422,0.366,0.064,0.017
968, tt2645044,443,5.4,厨子戏子痞子,146975,7, 2013-03-29(中国大陆), 刘烨 / 张涵予 / 黄渤 / 田中千绘 / 梁静 / 王迅 / 大冢匡将 / 张鲁一, 中国大陆," 厨戏痞 / 厨子·戏子·痞子 / 虎烈拉 / The Chef, The Actor, The Scoundrel", 管虎, 108分钟, 喜剧 / 动作, 管虎 / 董润年, 汉语普通话,8,0.125,0.384,0.373,0.089,0.03
