familyname,birth_lng,birth_lat,work_lng,work_lat,count
Ҷ,115.6291963,23.28440692,114.0645518,22.54845664,3
Ҷ,115.6291963,23.28440692,114.423558,23.11635885,1
Ҷ,115.6291963,23.28440692,113.2714313,23.13533631,1
Ҷ,113.3313063,23.29451408,113.2714313,23.13533631,11
Ҷ,103.1491547,23.30569244,123.4559899,41.72091567,1
Ҷ,110.0871189,23.33328062,108.3734508,22.8226066,1
Ҷ,113.7676871,23.346745,114.0645518,22.54845664,1
Ҷ,114.2884748,23.35258205,113.1285122,23.02775875,1
Ҷ,114.2884748,23.35258205,114.423558,23.11635885,1
Ҷ,116.7593475,23.40884923,116.6885286,23.35909172,1
Ҷ,112.6875581,23.43144376,114.0645518,22.54845664,1
Ҷ,112.6875581,23.43144376,113.2714313,23.13533631,1
Ҷ,115.064471,23.52544237,114.0645518,22.54845664,1
Ҷ,115.064471,23.52544237,113.1285122,23.02775875,1
Ҷ,111.4216261,23.56345529,111.2855168,23.48274528,2
Ҷ,113.1145853,23.62585597,113.2714313,23.13533631,1
Ҷ,113.1145853,23.62585597,113.0624683,23.68823029,6
Ҷ,113.1145853,23.62585597,119.3034698,26.08042942,1
Ҷ,113.6848238,23.68024933,113.2714313,23.13533631,1
Ҷ,114.6544836,23.69360411,114.7074463,23.74968437,3
Ҷ,116.6778995,23.70004358,116.6294702,23.66262319,1
Ҷ,115.6413197,23.80283324,114.0645518,22.54845664,1
Ҷ,115.6413197,23.80283324,114.423558,23.11635885,1
Ҷ,117.132942,23.87404073,118.0964355,24.48540661,1
Ҷ,117.132942,23.87404073,117.6535765,24.51892979,1
Ҷ,117.132942,23.87404073,102.8524484,24.87399815,1
Ҷ,117.132942,23.87404073,119.3034698,26.08042942,1
Ҷ,116.2913947,23.91608459,114.0645518,22.54845664,1
Ҷ,117.6914556,24.13461035,121.6285725,29.86603305,1
Ҷ,115.7532997,24.26731124,113.5825548,22.27656465,1
Ҷ,109.456327,24.27581555,109.4344219,24.33196139,3
Ҷ,116.115952,24.29075035,114.0645518,22.54845664,2
Ҷ,116.115952,24.29075035,113.1285122,23.02775875,1
Ҷ,116.115952,24.29075035,114.423558,23.11635885,1
Ҷ,116.115952,24.29075035,116.1295374,24.29417753,13
Ҷ,109.3434658,24.3061839,109.4344219,24.33196139,4
Ҷ,117.2007209,24.3244906,118.0964355,24.48540661,4
Ҷ,117.2007209,24.3244906,118.6824463,24.87995233,1
Ҷ,117.2007209,24.3244906,119.3034698,26.08042942,3
Ҷ,115.3622917,24.33467978,114.0645518,22.54845664,2
Ҷ,115.3622917,24.33467978,113.2714313,23.13533631,1
Ҷ,115.3622917,24.33467978,121.6515474,38.92451112,1
Ҷ,114.5429766,24.34056629,114.0645518,22.54845664,1
Ҷ,114.5429766,24.34056629,113.2714313,23.13533631,1
Ҷ,116.1710273,24.36478244,114.0645518,22.54845664,2
Ҷ,116.1710273,24.36478244,113.2714313,23.13533631,2
Ҷ,116.1710273,24.36478244,116.1295374,24.29417753,1
Ҷ,109.4831808,24.37112849,109.4344219,24.33196139,1
Ҷ,117.8075903,24.39881682,118.0964355,24.48540661,1
Ҷ,114.0304276,24.42673474,113.5825548,22.27656465,1
Ҷ,115.0118151,24.45211039,114.0645518,22.54845664,1
Ҷ,115.0118151,24.45211039,113.2714313,23.13533631,1
Ҷ,115.0118151,24.45211039,121.6515474,38.92451112,1
Ҷ,118.1345349,24.46872808,118.0964355,24.48540661,8
Ҷ,109.4139145,24.47174276,109.4344219,24.33196139,3
Ҷ,117.6762047,24.51706478,117.6535765,24.51892979,9
Ҷ,117.6762047,24.51706478,118.6824463,24.87995233,1
Ҷ,118.1446758,24.52197393,118.0964355,24.48540661,5
Ҷ,117.9839559,24.53619033,118.0964355,24.48540661,2
Ҷ,118.0294117,24.6409728,118.0964355,24.48540661,4
Ҷ,118.0294117,24.6409728,121.4805389,31.23592904,1
Ҷ,115.9326563,24.69565366,113.2714313,23.13533631,2
Ҷ,113.3796062,24.70819323,113.6035273,24.81588128,2
Ҷ,117.8129874,24.74459371,118.0964355,24.48540661,2
Ҷ,117.8129874,24.74459371,112.196414,30.35898949,1
Ҷ,114.7318249,24.7727062,114.423558,23.11635885,1
Ҷ,114.7318249,24.7727062,114.9405034,25.8351761,4
Ҷ,114.7318249,24.7727062,116.0075349,29.71134056,1
Ҷ,118.114685,24.78170473,118.0964355,24.48540661,10
Ҷ,118.114685,24.78170473,118.6824463,24.87995233,1
Ҷ,113.6068419,24.81038464,113.2714313,23.13533631,3
Ҷ,113.6068419,24.81038464,113.6035273,24.81588128,2
Ҷ,114.1154045,24.85270629,121.6515474,38.92451112,1
Ҷ,118.6003623,24.90165238,118.6824463,24.87995233,7
Ҷ,118.5684553,24.90574469,118.6824463,24.87995233,3
Ҷ,118.5684553,24.90574469,121.4805389,31.23592904,1
Ҷ,117.5438045,24.91868809,118.0964355,24.48540661,1
Ҷ,113.5774503,24.91916225,114.0645518,22.54845664,1
Ҷ,113.5774503,24.91916225,113.6035273,24.81588128,1
Ҷ,112.4591889,24.93702085,113.2714313,23.13533631,1
Ҷ,102.6034777,24.98363012,102.8524484,24.87399815,1
Ҷ,118.8094729,24.99187144,118.0964355,24.48540661,1
Ҷ,118.8094729,24.99187144,118.6824463,24.87995233,5
Ҷ,118.3889807,25.01797255,113.2714313,23.13533631,1
Ҷ,118.3889807,25.01797255,118.0964355,24.48540661,6
Ҷ,118.3889807,25.01797255,118.6824463,24.87995233,2
Ҷ,118.3889807,25.01797255,117.2108131,39.1439299,1
