投资方所在城市,融资方所在城市,阵营,投资企业对数,经度,纬度
南宁,钦州,0,18,109.024507902,22.1833012192
银川,中卫,0,18,105.706395331,36.5693450516
昆明,昭通,0,18,103.998145486,27.6525864948
哈尔滨,黑河,0,18,126.996351701,49.2530986124
成都,广元,0,17,105.77965861,32.2606905652
成都,阿坝藏族羌族自治州,0,17,,
北京,驻马店,1,17,114.148797271,32.9243766426
北京,锡林郭勒盟,1,17,,
成都,资阳,0,17,104.953340591,30.1802755486
南宁,贵港,0,17,109.998175606,23.3100315884
北京,丹东,1,16,124.406588969,40.5485906661
北京,锦州,1,16,122.1276071,41.7056938843
北京,安阳,1,16,114.636913626,35.4832428865
营口,鞍山,0,16,123.311254248,40.4244897423
长春,延边朝鲜族自治州,0,16,,
济南,莱芜,0,16,117.651838532,36.2867074983
成都,遂宁,0,15,105.470484465,30.6311127344
乌鲁木齐,阿克苏地区,0,15,,
南京,连云港,0,15,119.131887634,34.5329086065
合肥,池州,0,15,117.366095049,30.2838388703
深圳,河源,1,15,114.957578127,24.041916141
昆明,玉溪,0,15,102.678676868,24.2272276938
广州,肇庆,0,15,112.202555079,23.5397260823
成都,泸州,0,15,105.462113801,28.5508654308
长沙,邵阳,0,15,110.915650898,26.8726168321
银川,固原,0,14,106.182674483,35.9493871692
深圳,梅州,1,14,116.07866931,24.2018151873
成都,南充,0,14,106.20434408,31.1959423625
合肥,淮南,0,13,116.733045967,32.7568698018
长春,四平,0,13,124.473024459,43.5691446169
广州,韶关,0,13,113.772863358,24.8175018307
昆明,临沧,0,13,99.6334364438,23.8219398519
上海,黄山,1,13,118.077165369,29.9060894539
南昌,抚州,0,13,116.433348614,27.5092972994
北京,牡丹江,1,12,129.889484361,44.5926621777
潍坊,枣庄,0,12,117.310288282,35.0325600892
长沙,娄底,0,12,111.208381843,27.8588837544
武汉,白银,0,12,105.025181453,36.2452049344
成都,攀枝花,0,12,101.731413397,26.8061938317
武汉,随州,0,11,113.424642017,31.829691489
广州,汕头,0,11,116.555530272,23.330681385
沈阳,铁岭,0,11,124.172161855,42.6409023987
北京,克拉玛依,1,11,85.2440883636,45.6067831345
西宁,海西蒙古族藏族自治州,0,11,,
贵阳,毕节,0,11,105.210244633,27.0684334498
贵阳,毕节,0,11,105.210244633,27.0684334498
北京,通辽,1,11,121.577319554,43.8189888688
北京,盘锦,1,11,121.99780925,41.082524232
贵阳,黔南布依族苗族自治州,0,11,,
成都,甘孜藏族自治州,0,10,,
长春,白山,0,10,127.285610012,42.0676635125
北京,西宁,1,10,101.451113542,36.8142937624
长沙,湘西土家族苗族自治州,0,10,,
郑州,三门峡,0,10,110.760616888,34.2297321142
