source,target,weight
德阳,成都,0.005085586703051352
绵阳,成都,0.004589431902753659
南充,成都,0.003969238402381543
资阳,成都,0.002852890101711734
秦皇岛,成都,0.0012403870007442323
遂宁,成都,0.0014884644008930786
眉山,成都,0.0014884644008930786
泸州,成都,0.0013644257008186553
自贡,成都,0.0008682709005209626
攀枝花,成都,0.001116348300669809
广安,成都,0.0004961548002976929
枣庄,成都,0.0
乐山,成都,0.00012403870007442322
宜宾,成都,0.00012403870007442322
雅安,成都,0.0
巴中,成都,0.0
北京,杭州,0.2248821632349293
上海,杭州,0.33552468370131483
深圳,杭州,0.08695112875217068
广州,杭州,0.012155792607293476
天津,杭州,0.009426941205656165
苏州,杭州,0.014016373108409823
宁波,杭州,0.08335400645001241
拉萨,杭州,0.007194244604316547
南京,杭州,0.010543289506325973
东莞,杭州,0.00024807740014884643
成都,杭州,0.006946167204167701
福州,杭州,0.0018605805011163482
无锡,杭州,0.0017365418010419251
重庆,杭州,0.002852890101711734
嘉兴,杭州,0.02344331431406599
厦门,杭州,0.0038451997023071197
武汉,杭州,0.0038451997023071197
郑州,杭州,0.0008682709005209626
石家庄,杭州,0.00012403870007442322
珠海,杭州,0.003969238402381543
济南,杭州,0.0006201935003721161
青岛,杭州,0.0004961548002976929
西安,杭州,0.00037211610022326965
长沙,杭州,0.002604812701562888
合肥,杭州,0.0021086579012651947
大连,杭州,0.00024807740014884643
南通,杭州,0.00012403870007442322
绍兴,杭州,0.033614487720168694
温州,杭州,0.008930786405358472
佛山,杭州,0.0
常州,杭州,0.0016125031009675019
乌鲁木齐,杭州,0.0006201935003721161
湖州,杭州,0.027536591416521955
新余,杭州,0.002604812701562888
海口,杭州,0.0
金华,杭州,0.02009426941205656
中山,杭州,0.0
台州,杭州,0.010543289506325973
舟山,杭州,0.011907715207144629
九江,杭州,0.00037211610022326965
潍坊,杭州,0.00012403870007442322
四平,杭州,0.009426941205656165
兰州,杭州,0.00024807740014884643
芜湖,杭州,0.00024807740014884643
上饶,杭州,0.00012403870007442322
通化,杭州,0.0032250062019350038
常德,杭州,0.0
衢州,杭州,0.001116348300669809
丽水,杭州,0.0008682709005209626
北京,嘉兴,0.21880426693128255
上海,嘉兴,0.2158273381294964
深圳,嘉兴,0.09699826345819895
广州,嘉兴,0.004713470602828083
天津,嘉兴,0.02505581741503349
杭州,嘉兴,0.10084346316050607
苏州,嘉兴,0.007070205904242123
宁波,嘉兴,0.009923096005953858
拉萨,嘉兴,0.016000992309600594
南京,嘉兴,0.001116348300669809
东莞,嘉兴,0.0004961548002976929
成都,嘉兴,0.0014884644008930786
福州,嘉兴,0.0018605805011163482
重庆,嘉兴,0.006201935003721161
厦门,嘉兴,0.00037211610022326965
武汉,嘉兴,0.0014884644008930786
郑州,嘉兴,0.0007442322004465393
珠海,嘉兴,0.0018605805011163482
青岛,嘉兴,0.0009923096005953857
西安,嘉兴,0.004341354502604812
长沙,嘉兴,0.0007442322004465393
合肥,嘉兴,0.0007442322004465393
大连,嘉兴,0.006201935003721161
绍兴,嘉兴,0.0023567353014140413
温州,嘉兴,0.0007442322004465393
佛山,嘉兴,0.00012403870007442322
常州,嘉兴,0.0006201935003721161
乌鲁木齐,嘉兴,0.0013644257008186553
湖州,嘉兴,0.0017365418010419251
南昌,嘉兴,0.004093277102455967
哈尔滨,嘉兴,0.0006201935003721161
新余,嘉兴,0.0004961548002976929
金华,嘉兴,0.0009923096005953857
廊坊,嘉兴,0.004837509302902505
舟山,嘉兴,0.00012403870007442322
贵阳,嘉兴,0.0007442322004465393
保定,嘉兴,0.00024807740014884643
宜春,嘉兴,0.00012403870007442322
芜湖,嘉兴,0.0
鄂尔多斯,嘉兴,0.00012403870007442322
西宁,嘉兴,0.00024807740014884643
萍乡,嘉兴,0.00037211610022326965
徐州,嘉兴,0.0018605805011163482
秦皇岛,嘉兴,0.00012403870007442322
济宁,嘉兴,0.00012403870007442322
赣州,嘉兴,0.00024807740014884643
吉林,嘉兴,0.00012403870007442322
北京,武汉,0.1740262962044158
上海,武汉,0.09588191515752915
深圳,武汉,0.09749441825849665
广州,武汉,0.018357727611014635
天津,武汉,0.005953857603572314
杭州,武汉,0.01116348300669809
苏州,武汉,0.004589431902753659
宁波,武汉,0.005085586703051352
拉萨,武汉,0.0006201935003721161
南京,武汉,0.0042173158025303895
东莞,武汉,0.00012403870007442322
成都,武汉,0.003969238402381543
福州,武汉,0.0027288514016373107
无锡,武汉,0.00012403870007442322
重庆,武汉,0.0023567353014140413
嘉兴,武汉,0.0006201935003721161
厦门,武汉,0.0016125031009675019
郑州,武汉,0.0004961548002976929
珠海,武汉,0.0027288514016373107
青岛,武汉,0.00012403870007442322
西安,武汉,0.001116348300669809
长沙,武汉,0.005581741503349045
南通,武汉,0.00012403870007442322
佛山,武汉,0.00037211610022326965
常州,武汉,0.0004961548002976929
乌鲁木齐,武汉,0.00012403870007442322
南昌,武汉,0.0017365418010419251
新余,武汉,0.00012403870007442322
沈阳,武汉,0.00012403870007442322
南宁,武汉,0.00012403870007442322
昆明,武汉,0.0012403870007442323
鹰潭,武汉,0.00012403870007442322
芜湖,武汉,0.0
孝感,武汉,0.0013644257008186553
咸宁,武汉,0.0032250062019350038
荆门,武汉,0.002604812701562888
襄阳,武汉,0.002604812701562888
十堰,武汉,0.0016125031009675019
宜昌,武汉,0.001116348300669809
秦皇岛,武汉,0.0004961548002976929
蚌埠,武汉,0.00024807740014884643
黄石,武汉,0.001116348300669809
黄冈,武汉,0.0009923096005953857
荆州,武汉,0.0008682709005209626
鄂州,武汉,0.00037211610022326965
北京,苏州,0.1612503100967502
上海,苏州,0.34743239890845945
深圳,苏州,0.069461672041677
广州,苏州,0.006077896303646738
天津,苏州,0.012775986107665591
杭州,苏州,0.02282312081369387
宁波,苏州,0.008930786405358472
拉萨,苏州,0.008310592904986355
南京,苏州,0.04998759612999256
东莞,苏州,0.004341354502604812
成都,苏州,0.0008682709005209626
福州,苏州,0.00024807740014884643
无锡,苏州,0.015628876209377324
重庆,苏州,0.002232696601339618
嘉兴,苏州,0.003969238402381543
厦门,苏州,0.00024807740014884643
武汉,苏州,0.0009923096005953857
郑州,苏州,0.0008682709005209626
珠海,苏州,0.00012403870007442322
济南,苏州,0.0032250062019350038
青岛,苏州,0.0007442322004465393
西安,苏州,0.0019846192011907715
合肥,苏州,0.0012403870007442323
大连,苏州,0.0006201935003721161
南通,苏州,0.0031009675018605805
温州,苏州,0.0006201935003721161
佛山,苏州,0.0019846192011907715
常州,苏州,0.005829818903497892
新余,苏州,0.0006201935003721161
金华,苏州,0.00012403870007442322
台州,苏州,0.0006201935003721161
镇江,苏州,0.0
烟台,苏州,0.00012403870007442322
宜春,苏州,0.00012403870007442322
芜湖,苏州,0.00024807740014884643
盐城,苏州,0.00012403870007442322
淄博,苏州,0.0
淮安,苏州,0.0008682709005209626
中卫,苏州,0.0
