投资方所在城市,融资方所在城市,投资企业对数,lng_tz,lat_tz,lng_rz,lat_rz
肇庆,深圳,8,112.202555079,23.5397260823,113.981097454,22.6612174267
威海,深圳,13,121.982230785,37.1191305819,113.981097454,22.6612174267
荆州,深圳,3,112.655927602,29.8484798317,113.981097454,22.6612174267
郴州,深圳,10,113.134839925,25.8116998935,113.981097454,22.6612174267
河源,深圳,10,114.957578127,24.041916141,113.981097454,22.6612174267
宁德,深圳,4,119.525337183,27.1525886371,113.981097454,22.6612174267
梅州,深圳,8,116.07866931,24.2018151873,113.981097454,22.6612174267
韶关,深圳,5,113.772863358,24.8175018307,113.981097454,22.6612174267
潮州,深圳,5,116.768450527,23.7984986229,113.981097454,22.6612174267
莆田,深圳,4,118.879674516,25.4571400714,113.981097454,22.6612174267
南阳,深圳,3,112.286515719,33.0462533589,113.981097454,22.6612174267
邵阳,深圳,3,110.915650898,26.8726168321,113.981097454,22.6612174267
贵港,深圳,4,109.998175606,23.3100315884,113.981097454,22.6612174267
朔州,深圳,3,112.731072685,39.4515425822,113.981097454,22.6612174267
北京,天津,4862,116.409349256,40.1841180253,117.332394543,39.3085542563
上海,天津,989,121.404084553,31.0844617511,117.332394543,39.3085542563
深圳,天津,542,113.981097454,22.6612174267,117.332394543,39.3085542563
广州,天津,82,113.535309762,23.3572458759,117.332394543,39.3085542563
杭州,天津,97,119.484701009,29.9049798065,117.332394543,39.3085542563
苏州,天津,36,120.64180324,31.3759706021,117.332394543,39.3085542563
宁波,天津,45,121.462283516,29.7195882339,117.332394543,39.3085542563
拉萨,天津,39,91.1028799309,30.0334521208,117.332394543,39.3085542563
南京,天津,19,118.842463658,31.9287592963,117.332394543,39.3085542563
成都,天津,20,103.501067544,30.5086877776,117.332394543,39.3085542563
无锡,天津,20,120.351629529,31.6615440474,117.332394543,39.3085542563
重庆,天津,6,107.864385258,30.0553736852,117.332394543,39.3085542563
嘉兴,天津,17,120.753919978,30.654868568,117.332394543,39.3085542563
厦门,天津,11,118.110687591,24.6830448658,117.332394543,39.3085542563
武汉,天津,36,114.338092289,30.6256542221,117.332394543,39.3085542563
郑州,天津,14,113.471850802,34.6263627848,117.332394543,39.3085542563
石家庄,天津,35,114.44284612,38.1289585008,117.332394543,39.3085542563
珠海,天津,5,113.251442783,22.1619886251,117.332394543,39.3085542563
济南,天津,5,117.08325858,36.7325316169,117.332394543,39.3085542563
青岛,天津,16,120.143935648,36.456032729,117.332394543,39.3085542563
西安,天津,6,108.789503511,34.1107819802,117.332394543,39.3085542563
长沙,天津,4,113.152959363,28.2295131059,117.332394543,39.3085542563
合肥,天津,5,117.286266302,31.9771580754,117.332394543,39.3085542563
大连,天津,27,122.219575666,39.6124317573,117.332394543,39.3085542563
佛山,天津,7,112.94508169,23.0127749858,117.332394543,39.3085542563
常州,天津,4,119.679057019,31.6925543935,117.332394543,39.3085542563
银川,天津,7,106.341244948,38.2192835973,117.332394543,39.3085542563
乌鲁木齐,天津,15,87.8094631006,43.5313046469,117.332394543,39.3085542563
新余,天津,4,114.851202951,27.8472307759,117.332394543,39.3085542563
沈阳,天津,16,123.136692183,42.093659482,117.332394543,39.3085542563
太原,天津,13,112.314062259,37.9595409573,117.332394543,39.3085542563
金华,天津,10,119.954268808,29.1164535388,117.332394543,39.3085542563
廊坊,天津,8,116.535844506,39.1117554763,117.332394543,39.3085542563
昆明,天津,8,102.875102299,25.3852977816,117.332394543,39.3085542563
长春,天津,5,125.766739888,44.3768728237,117.332394543,39.3085542563
唐山,天津,17,118.340532724,39.7358857445,117.332394543,39.3085542563
贵阳,天津,4,106.707306335,26.8429934259,117.332394543,39.3085542563
包头,天津,3,110.218042216,41.6418500189,117.332394543,39.3085542563
湘潭,天津,4,112.530368577,27.7049103307,117.332394543,39.3085542563
连云港,天津,3,119.131887634,34.5329086065,117.332394543,39.3085542563
三亚,天津,4,109.417993438,18.3920682395,117.332394543,39.3085542563
白城,天津,16,123.010020734,45.3426110899,117.332394543,39.3085542563
济宁,天津,8,116.67539172,35.3785473334,117.332394543,39.3085542563
衡水,天津,3,115.852176753,37.6362650134,117.332394543,39.3085542563
北京,宁波,2545,116.409349256,40.1841180253,121.462283516,29.7195882339
